Cepa,Linea,Campo,Amastigotes,Células,Amas.por.célula,Porcentaje,Amas.por.célula.infectada,Method
Dm,AC16,1,102,35,2.91428571428571,60,4.85714285714286,Auto
Dm,AC16,2,120,46,2.60869565217391,52.1739130434783,5,Auto
Dm,AC16,3,73,51,1.43137254901961,49.0196078431373,2.92,Auto
Dm,AC16,4,21,32,0.65625,25,2.625,Auto
Dm,AC16,5,64,40,1.6,50,3.2,Auto
Dm,BeWo,1,238,24,9.91666666666667,100,9.91666666666667,Auto
Dm,BeWo,2,42,13,3.23076923076923,69.2307692307692,4.66666666666667,Auto
Dm,BeWo,3,99,31,3.19354838709677,51.6129032258065,6.1875,Auto
Dm,BeWo,4,17,5,3.4,100,3.4,Auto
Dm,BeWo,5,152,18,8.44444444444445,88.8888888888889,9.5,Auto
Dm,Caco2,1,45,19,2.36842105263158,47.3684210526316,5,Auto
Dm,Caco2,2,23,3,7.66666666666667,100,7.66666666666667,Auto
Dm,Caco2,3,7,7,1,57.1428571428571,1.75,Auto
Dm,Caco2,4,4,1,4,100,4,Auto
Dm,Caco2,5,3,1,3,100,3,Auto
Dm,HeLa,1,77,57,1.35087719298246,29.8245614035088,4.52941176470588,Auto
Dm,HeLa,2,50,25,2,48,4.16666666666667,Auto
Dm,HeLa,3,63,39,1.61538461538462,33.3333333333333,4.84615384615385,Auto
Dm,HeLa,4,69,36,1.91666666666667,36.1111111111111,5.30769230769231,Auto
Dm,HeLa,5,104,61,1.70491803278689,36.0655737704918,4.72727272727273,Auto
Dm,THP1,1,24,4,6,100,6,Auto
Dm,THP1,2,5,3,1.66666666666667,100,1.66666666666667,Auto
Dm,THP1,3,0,4,0,0,nan,Auto
Dm,THP1,4,2,4,0.5,25,2,Auto
Dm,Vero,1,64,26,2.46153846153846,38.4615384615385,6.4,Auto
Dm,Vero,2,150,14,10.7142857142857,100,10.7142857142857,Auto
Dm,Vero,3,63,13,4.84615384615385,46.1538461538462,10.5,Auto
Dm,Vero,4,72,11,6.54545454545455,63.6363636363636,10.2857142857143,Auto
Dm,Vero,5,74,8,9.25,62.5,14.8,Auto
Tul,AC16,1,179,41,4.36585365853659,60.9756097560976,7.16,Auto
Tul,AC16,2,90,43,2.09302325581395,39.5348837209302,5.29411764705882,Auto
Tul,AC16,3,28,33,0.848484848484849,21.2121212121212,4,Auto
Tul,AC16,4,131,29,4.51724137931035,62.0689655172414,7.27777777777778,Auto
Tul,AC16,5,92,33,2.78787878787879,63.6363636363636,4.38095238095238,Auto
Tul,BeWo,1,169,15,11.2666666666667,100,11.2666666666667,Auto
Tul,BeWo,2,65,16,4.0625,87.5,4.64285714285714,Auto
Tul,BeWo,3,265,25,10.6,92,11.5217391304348,Auto
Tul,BeWo,4,111,28,3.96428571428571,75,5.28571428571429,Auto
Tul,BeWo,5,112,25,4.48,80,5.6,Auto
Tul,Caco2,1,30,17,1.76470588235294,47.0588235294118,3.75,Auto
Tul,Caco2,2,19,20,0.95,25,3.8,Auto
Tul,Caco2,3,21,8,2.625,25,10.5,Auto
Tul,Caco2,4,28,8,3.5,62.5,5.6,Auto
Tul,Caco2,5,36,19,1.89473684210526,31.5789473684211,6,Auto
Tul,HeLa,1,137,40,3.425,52.5,6.52380952380952,Auto
Tul,HeLa,2,57,20,2.85,40,7.125,Auto
Tul,HeLa,3,52,39,1.33333333333333,43.5897435897436,3.05882352941176,Auto
Tul,HeLa,4,46,40,1.15,35,3.28571428571429,Auto
Tul,HeLa,5,57,30,1.9,33.3333333333333,5.7,Auto
Tul,THP1,1,1,4,0.25,25,1,Auto
Tul,THP1,2,1,2,0.5,50,1,Auto
Tul,THP1,3,23,4,5.75,75,7.66666666666667,Auto
Tul,THP1,4,15,2,7.5,50,15,Auto
Tul,THP1,5,0,2,0,0,nan,Auto
Tul,Vero,1,69,27,2.55555555555556,48.1481481481481,5.30769230769231,Auto
Tul,Vero,2,54,18,3,61.1111111111111,4.90909090909091,Auto
Tul,Vero,3,80,31,2.58064516129032,58.0645161290323,4.44444444444445,Auto
Tul,Vero,4,69,20,3.45,60,5.75,Auto
Tul,Vero,5,63,24,2.625,54.1666666666667,4.84615384615385,Auto
