Cepa,Linea,Campo,Celula,Amastigotes
Dm,AC16,1,1,5
Dm,AC16,1,2,4
Dm,AC16,1,3,20
Dm,AC16,1,4,4
Dm,AC16,1,5,13
Dm,AC16,1,6,9
Dm,AC16,1,7,4
Dm,AC16,1,8,4
Dm,AC16,1,9,3
Dm,AC16,1,10,11
Dm,AC16,1,11,8
Dm,AC16,1,12,2
Dm,AC16,1,13,4
Dm,AC16,1,14,6
Dm,AC16,1,15,4
Dm,AC16,1,16,4
Dm,AC16,1,17,1
Dm,AC16,1,18,7
Dm,AC16,1,19,2
Dm,AC16,1,20,3
Dm,AC16,1,21,0
Dm,AC16,1,22,0
Dm,AC16,1,23,0
Dm,AC16,1,24,0
Dm,AC16,1,25,0
Dm,AC16,1,26,0
Dm,AC16,1,27,0
Dm,AC16,1,28,0
Dm,AC16,1,29,0
Dm,AC16,1,30,0
Dm,AC16,1,31,0
Dm,AC16,1,32,0
Dm,AC16,1,33,0
Dm,AC16,1,34,0
Dm,AC16,1,35,0
Dm,AC16,2,1,9
Dm,AC16,2,2,2
Dm,AC16,2,3,2
Dm,AC16,2,4,3
Dm,AC16,2,5,4
Dm,AC16,2,6,3
Dm,AC16,2,7,2
Dm,AC16,2,8,5
Dm,AC16,2,9,2
Dm,AC16,2,10,7
Dm,AC16,2,11,5
Dm,AC16,2,12,18
Dm,AC16,2,13,9
Dm,AC16,2,14,8
Dm,AC16,2,15,17
Dm,AC16,2,16,2
Dm,AC16,2,17,2
Dm,AC16,2,18,3
Dm,AC16,2,19,8
Dm,AC16,2,20,10
Dm,AC16,2,21,0
Dm,AC16,2,22,0
Dm,AC16,2,23,0
Dm,AC16,2,24,0
Dm,AC16,2,25,0
Dm,AC16,2,26,0
Dm,AC16,2,27,0
Dm,AC16,2,28,0
Dm,AC16,2,29,0
Dm,AC16,2,30,0
Dm,AC16,2,31,0
Dm,AC16,2,32,0
Dm,AC16,2,33,0
Dm,AC16,2,34,0
Dm,AC16,2,35,0
Dm,AC16,2,36,0
Dm,AC16,2,37,0
Dm,AC16,2,38,0
Dm,AC16,2,39,0
Dm,AC16,2,40,0
Dm,AC16,2,41,0
Dm,AC16,2,42,0
Dm,AC16,2,43,0
Dm,AC16,2,44,0
Dm,AC16,2,45,0
Dm,AC16,2,46,0
Dm,AC16,3,1,2
Dm,AC16,3,2,6
Dm,AC16,3,3,4
Dm,AC16,3,4,9
Dm,AC16,3,5,7
Dm,AC16,3,6,4
Dm,AC16,3,7,9
Dm,AC16,3,8,3
Dm,AC16,3,9,6
Dm,AC16,3,10,6
Dm,AC16,3,11,6
Dm,AC16,3,12,4
Dm,AC16,3,13,1
Dm,AC16,3,14,2
Dm,AC16,3,15,7
Dm,AC16,3,16,2
Dm,AC16,3,17,4
Dm,AC16,3,18,6
Dm,AC16,3,19,2
Dm,AC16,3,20,0
Dm,AC16,3,21,0
Dm,AC16,3,22,0
Dm,AC16,3,23,0
Dm,AC16,3,24,0
Dm,AC16,3,25,0
Dm,AC16,3,26,0
Dm,AC16,3,27,0
Dm,AC16,3,28,0
Dm,AC16,3,29,0
Dm,AC16,3,30,0
Dm,AC16,3,31,0
Dm,AC16,3,32,0
Dm,AC16,3,33,0
Dm,AC16,3,34,0
Dm,AC16,3,35,0
Dm,AC16,3,36,0
Dm,AC16,3,37,0
Dm,AC16,3,38,0
Dm,AC16,3,39,0
Dm,AC16,3,40,0
Dm,AC16,3,41,0
Dm,AC16,3,42,0
Dm,AC16,3,43,0
Dm,AC16,3,44,0
Dm,AC16,3,45,0
Dm,AC16,3,46,0
Dm,AC16,3,47,0
Dm,AC16,3,48,0
Dm,AC16,3,49,0
Dm,AC16,3,50,0
Dm,AC16,3,51,0
Dm,AC16,4,1,1
Dm,AC16,4,2,4
Dm,AC16,4,3,7
Dm,AC16,4,4,6
Dm,AC16,4,5,1
Dm,AC16,4,6,2
Dm,AC16,4,7,3
Dm,AC16,4,8,1
Dm,AC16,4,9,7
Dm,AC16,4,10,0
Dm,AC16,4,11,0
Dm,AC16,4,12,0
Dm,AC16,4,13,0
Dm,AC16,4,14,0
Dm,AC16,4,15,0
Dm,AC16,4,16,0
Dm,AC16,4,17,0
Dm,AC16,4,18,0
Dm,AC16,4,19,0
Dm,AC16,4,20,0
Dm,AC16,4,21,0
Dm,AC16,4,22,0
Dm,AC16,4,23,0
Dm,AC16,4,24,0
Dm,AC16,4,25,0
Dm,AC16,4,26,0
Dm,AC16,4,27,0
Dm,AC16,4,28,0
Dm,AC16,4,29,0
Dm,AC16,4,30,0
Dm,AC16,4,31,0
Dm,AC16,4,32,0
Dm,AC16,4,33,0
Dm,AC16,5,1,4
Dm,AC16,5,2,1
Dm,AC16,5,3,3
Dm,AC16,5,4,10
Dm,AC16,5,5,4
Dm,AC16,5,6,11
